GHO;DATASOURCE;PUBLISHSTATE;YEAR;REGION;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2015;WPR;PHL;BTSX;18.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_THA;PUBLISHED;2015;SEAR;THA;BTSX;19.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_THA;PUBLISHED;2015;SEAR;THA;FMLE;17.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TUV;PUBLISHED;2013;WPR;TUV;FMLE;5.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TZA;PUBLISHED;2014;AFR;TZA;MLE;3.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BRB;PUBLISHED;2011;AMR;BRB;FMLE;45.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BWA;PUBLISHED;2005;AFR;BWA;MLE;22.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BRN;PUBLISHED;2014;WPR;BRN;FMLE;3.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2011;WPR;COK;BTSX;29.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SLV;PUBLISHED;2013;AMR;SLV;FMLE;16.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GHA;PUBLISHED;2012;AFR;GHA;BTSX;15.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GTM;PUBLISHED;2009;AMR;GTM;MLE;18.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_IDN;PUBLISHED;2007;SEAR;IDN;BTSX;2.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KEN;PUBLISHED;2003;AFR;KEN;MLE;16.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MDV;PUBLISHED;2009;SEAR;MDV;MLE;7.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2011;AFR;MUS;FMLE;22.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_NAM;PUBLISHED;2004;AFR;NAM;FMLE;30.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PER;PUBLISHED;2010;AMR;PER;BTSX;27.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2011;WPR;PHL;MLE;22.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SEN;PUBLISHED;2005;AFR;SEN;BTSX;3.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SLB;PUBLISHED;2011;WPR;SLB;MLE;21.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SWZ;PUBLISHED;2003;AFR;SWZ;FMLE;14.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_THA;PUBLISHED;2008;SEAR;THA;MLE;22.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_VNM;PUBLISHED;2013;WPR;VNM;FMLE;10.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GHA;PUBLISHED;2007;AFR;GHA;BTSX;28.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBN;PUBLISHED;2005;EMR;LBN;MLE;27.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MNG;PUBLISHED;2010;WPR;MNG;FMLE;4.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BEN;PUBLISHED;2016;AFR;BEN;MLE;38.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_CHL;PUBLISHED;2013;AMR;CHL;FMLE;28.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_JAM;PUBLISHED;2017;AMR;JAM;BTSX;45.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBN;PUBLISHED;2017;EMR;LBN;MLE;20.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MMR;PUBLISHED;2016;SEAR;MMR;BTSX;3.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_NPL;PUBLISHED;2015;SEAR;NPL;MLE;5.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2015;WPR;PHL;FMLE;16.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SUR;PUBLISHED;2016;AMR;SUR;MLE;36.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TLS;PUBLISHED;2015;SEAR;TLS;FMLE;8.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TTO;PUBLISHED;2017;AMR;TTO;BTSX;29.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_VUT;PUBLISHED;2016;WPR;VUT;FMLE;9.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BRB;PUBLISHED;2011;AMR;BRB;BTSX;46.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BWA;PUBLISHED;2005;AFR;BWA;FMLE;18.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_CRI;PUBLISHED;2009;AMR;CRI;FMLE;23.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_DMA;PUBLISHED;2009;AMR;DMA;BTSX;54.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GHA;PUBLISHED;2012;AFR;GHA;FMLE;12.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GRD;PUBLISHED;2008;AMR;GRD;FMLE;43.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_IDN;PUBLISHED;2007;SEAR;IDN;MLE;4.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_IDN;PUBLISHED;2007;SEAR;IDN;FMLE;0.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MWI;PUBLISHED;2009;AFR;MWI;MLE;5.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MWI;PUBLISHED;2009;AFR;MWI;FMLE;2.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MNG;PUBLISHED;2013;WPR;MNG;MLE;4.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MNG;PUBLISHED;2013;WPR;MNG;FMLE;3.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_NRU;PUBLISHED;2011;WPR;NRU;BTSX;21.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_NRU;PUBLISHED;2011;WPR;NRU;MLE;27.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_VCT;PUBLISHED;2007;AMR;VCT;BTSX;53.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_VCT;PUBLISHED;2007;AMR;VCT;MLE;52.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
