Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
Saint Vincent and the Grenadines;08.04.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Samoa;23.08.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
San Marino;05.04.1994;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Sao Tome and Principe;05.07.1996;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Saudi Arabia;21.08.1987;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Senegal;07.05.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Serbia;16.10.2001;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Seychelles;08.11.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Sierra Leone;21.10.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Singapore;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Slovakia;02.04.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Slovenia;26.03.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Solomon Islands;19.09.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Somalia;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
South Africa;21.11.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
South Sudan;25.01.2013;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Spain;21.04.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Sri Lanka;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Sudan;07.03.2006;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Suriname;16.12.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Sweden;31.08.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Switzerland;17.02.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Syrian Arab Republic;14.11.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Tajikistan;13.01.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Thailand;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Timor-Leste;12.04.2005;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Togo;21.06.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Tonga;20.01.2003;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Trinidad and Tobago;20.07.2001;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Tunisia;09.08.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Türkiye;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Turkmenistan;10.04.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Tuvalu;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Uganda;13.03.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Ukraine;25.01.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
United Arab Emirates;09.03.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
United Kingdom of Great Britain and Northern Ireland;28.01.1998;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
United Republic of Tanzania;15.02.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
United States of America;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
