GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
Yth_curr_tob_use;PUBLISHED;2020;AMR;SUR;BTSX;11.7;11.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;VCT;MLE;9.9;9.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;VCT;FMLE;8.7;8.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;VCT;BTSX;9.3;9.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;TTO;MLE;17.3;17.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;TTO;FMLE;10.8;10.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;TTO;BTSX;14.0;14.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;URY;MLE;9.7;9.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;URY;FMLE;13.6;13.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;JAM;MLE;15.9;15.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;JAM;FMLE;15.0;15.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;JAM;BTSX;15.6;15.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;MEX;MLE;21.6;21.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;MEX;FMLE;17.7;17.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;MEX;BTSX;19.8;19.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
