GHO;PUBLISHSTATE;YEAR;REGION;WORLDBANKINCOMEGROUP;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2006;AFR;WB_LMI;AGO;144.0;144.0;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2007;AFR;WB_LMI;AGO;179.97;179.97;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2008;AFR;WB_LMI;AGO;219.55;219.55;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2009;AFR;WB_LMI;AGO;248.64;248.64;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2010;AFR;WB_LMI;AGO;177.55;177.55;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2011;AFR;WB_LMI;AGO;177.54;177.54;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2012;AFR;WB_LMI;AGO;177.6;177.6;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2013;AFR;WB_LMI;AGO;209.95;209.95;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2014;AFR;WB_LMI;AGO;199.09;199.09;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2015;AFR;WB_LMI;AGO;191.2;191.2;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2016;AFR;WB_LMI;AGO;192.72;192.72;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2017;AFR;WB_LMI;AGO;204.08;204.08;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2018;AFR;WB_LMI;AGO;188.51;188.51;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2019;AFR;WB_LMI;AGO;178.03;178.03;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
