COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
LCA;Saint Lucia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LC;LCA;LCA;
VCT;Saint Vincent and The Grenadines;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;VCT;
WSM;Samoa;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;WS;WSM;WSM;
SMR;San Marino;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SM;SMR;SMR;
STP;Sao Tome and Principe;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ST;STP;STP;
SAU;Saudi Arabia;2022;32.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SA;SAU;SAU;
SEN;Senegal;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SN;SEN;SEN;
SRB;Serbia;2022;55.8;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;RS;SRB;SRB;
SYC;Seychelles;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SC;SYC;SYC;
SLE;Sierra Leone;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SL;SLE;SLE;
SGP;Singapore;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SG;SGP;SGP;
SVK;Slovakia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;SVK;
SVN;Slovenia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SI;SVN;SVN;
SLB;Solomon Islands;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SB;SLB;SLB;
SOM;Somalia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SO;SOM;SOM;
ZAF;South Africa;2022;68.8;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ZA;ZAF;ZAF;
SSD;South Sudan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SS;SSD;SSD;
ESP;Spain;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ES;ESP;ESP;
LKA;Sri Lanka;2022;45.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LK;LKA;LKA;
SDN;Sudan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SD;SDN;SDN;
SUR;Suriname;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SR;SUR;SUR;
SWE;Sweden;2022;69.6;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SE;SWE;SWE;
CHE;Switzerland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CH;CHE;CHE;
SYR;Syria;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SY;SYR;SYR;
TJK;Tajikistan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TJ;TJK;TJK;
TZA;Tanzania;2022;45.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TZ;TZA;TZA;
THA;Thailand;2022;53.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TH;THA;THA;
TLS;Timor-Leste;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TLS;
TGO;Togo;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TGO;
TON;Tonga;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TON;
TTO;Trinidad and Tobago;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TTO;
TUN;Tunisia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TUN;
TUR;Turkey;2022;58.0;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;TUR;
TKM;Turkmenistan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TM;TKM;TKM;
TUV;Tuvalu;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TV;TUV;TUV;
UGA;Uganda;2022;50.6;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;UGA;
UKR;Ukraine;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;UA;UKR;UKR;
ARE;United Arab Emirates;2022;41.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;ARE;
GBR;United Kingdom;2022;73.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;GBR;
USA;United States;2022;66.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;USA;
URY;Uruguay;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;URY;
UZB;Uzbekistan;2022;36.6;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;UZB;
VUT;Vanuatu;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;VUT;
VEN;Venezuela;2022;42.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;VEN;
VNM;Vietnam;2022;55.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;VNM;
YEM;Yemen;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;YEM;
ZMB;Zambia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;ZMB;
ZWE;Zimbabwe;2022;;;;;;;;;;;;;;;;ZWE;
