GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001555;PUBLISHED;2016;AFR;GNB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;LBR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MLI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MOZ;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;BRB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;ECU;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;PRY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;TTO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;BGR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;FIN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;HUN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;MDA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;LTU;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;MCO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;TKM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;UZB;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;MHL;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;KOR;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;AFG;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;NPL;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;NIU;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;SAU;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;BRN;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MRT;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;QAT;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;PNG;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;TON;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;HTI;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;LBY;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;FJI;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;TUV;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;IRN;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;SOM;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;SDN;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;BHR;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;KWT;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;TUN;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;KGZ;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;BGD;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;MDV;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;FSM;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
