country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
Oman;OMN;0.1;3.7;9.2;3.2;3.7;5.3;5;0.1;0;0.1;2.9;1.3;4.1;0;1.7;1;0.1;1.7;0;2.7;1.2;1.1;1.4;x;4.7;4.7;1.6;3.4;2.5;2.5;3.7;2.5;Low;131;2.9490196078431365;9;0.17647058823529413;;0.10294117647058823;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Pakistan;PAK;9.3;8.8;6.7;3.8;5.2;7.8;7.4;9.7;7;7;7.2;7.8;4.7;1.1;5.4;7.6;1.7;5.2;1.6;3.9;3.3;5.9;5.7;4;6.6;5.3;6.2;5;5.8;5.7;5.5;6.1;High;22;2.777777777777777;3;0.058823529411764705;YES;0.26666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Palau;PLW;0.1;0.1;7.7;4.9;0;2.3;3.2;0;0;0;1.7;1.7;x;6.8;3.4;0;1;1.4;0.2;5;2.1;1.1;2.3;5.9;5;5.5;1.4;1.3;4.4;2.4;4.1;2.5;Low;131;5.66120218579235;21;0.4117647058823529;;0.3114754098360656;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Palestine;PSE;5.2;1.8;5.6;0;0;4.3;3.1;5.6;7;7;5.4;3.2;2.2;8.2;4.2;10;0;1;0.6;4.8;1.8;7.9;6.4;5.8;6.5;6.2;2.5;0.3;0.2;1;4.1;5.2;High;34;6.666666666666668;16;0.3137254901960784;YES;0.25;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Panama;PAN;9.3;3;9.1;2.4;1.2;5.4;6.2;0.2;0;0.1;3.8;2.1;6.1;0.2;2.6;4.6;0.7;1.2;0;2.1;1;3;2.8;4.3;5.7;5;2.1;3.7;3;2.9;4;3.5;Medium;100;3.1436619718309853;7;0.13725490196078433;;0.23943661971830985;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Papua New Guinea;PNG;9.7;5;8.6;2.6;2.5;6.4;6.7;3.5;0;2.5;4.9;8.2;7.1;1.5;6.3;4.4;5.5;5;2.3;4.6;4.5;4.5;5.5;6.7;6.8;6.8;6.9;9.8;6.5;7.7;7.3;5.8;High;26;5.142857142857143;9;0.17647058823529413;;0.5142857142857142;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Paraguay;PRY;0.1;4.8;0;0;3.5;5.4;2.6;2.3;0;1.6;2.1;4.1;5.9;0.4;3.6;1.5;1.2;1;5.4;3;2.9;2.2;2.9;3.7;6.6;5.2;2.4;3.1;4.3;3.3;4.3;3;Low;115;2.063926940639269;5;0.09803921568627451;;0.136986301369863;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Peru;PER;9.9;6.4;9.3;0;4.5;5.3;7.1;3.4;0;2.4;5.2;4.2;4.8;0.3;3.4;7.8;0.8;0.9;0.1;2.5;1.1;5.4;4.5;3.6;6;4.8;2.6;4.7;4.8;4;4.4;4.7;Medium;55;2.486486486486487;5;0.09803921568627451;;0.21621621621621623;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Philippines;PHL;10;7.2;9.3;9.5;4.1;6.6;8.4;9.2;7;7;7.8;4.5;5.3;1.1;3.9;5.6;3.8;3.2;6.5;3.9;4.5;5.1;4.5;3.5;5.8;4.7;2.2;3;6.2;3.8;4.3;5.3;High;33;2.774774774774775;4;0.0784313725490196;YES;0.21621621621621623;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Poland;POL;1.3;6.1;0;0;2.6;2.1;2.3;0.1;0;0.1;1.3;0.6;1.4;0.2;0.7;3.4;0.2;0.3;0;0.7;0.3;2;1.4;4.3;4;4.2;1.5;0.1;2.6;1.4;2.9;1.7;Very Low;168;4.470588235294119;10;0.19607843137254902;;0.3382352941176471;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Portugal;PRT;3.7;3.7;6.2;0.3;3.3;1.8;3.4;0;0;0;1.9;1;1.7;0.1;1;2.1;0.4;0.3;0;0.8;0.4;1.3;1.2;2.6;3.2;2.9;1.9;0;0.6;0.8;1.9;1.6;Very Low;172;3.2154589371980684;8;0.1568627450980392;;0.2028985507246377;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Qatar;QAT;0.1;0;1.6;0;3.7;3;1.5;0.1;0;0.1;0.8;1;2.7;0.1;1.2;0.9;0.3;0.5;0;0.6;0.4;0.7;1;4.7;3.8;4.3;1.1;0.2;2.6;1.3;2.9;1.3;Very Low;180;4.328205128205128;15;0.29411764705882354;;0.06153846153846154;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Romania;ROU;6.6;7;0;0;3.1;4.6;4.1;1.9;0;1.3;2.8;1.7;3.5;0.5;1.9;2.3;0.5;0.6;0;0.7;0.5;1.4;1.7;3.8;5.6;4.7;1.9;1;3.2;2;3.5;2.6;Low;126;3.4196078431372543;9;0.17647058823529413;;0.19117647058823528;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Russian Federation;RUS;5.1;8.4;5.5;3.8;6.4;3.2;5.7;9.1;0;6.4;6.1;1.5;3.3;0.1;1.6;4;0.5;0.6;0;0.9;0.5;2.4;2;x;6.2;6.2;1.1;3.5;1.7;2.1;4.5;3.8;Medium;89;4.234825870646766;12;0.23529411764705882;;0.19402985074626866;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Rwanda;RWA;4.5;4.4;0;0;4.5;5.8;3.5;1.5;0;1.1;2.4;8.2;5.1;3.5;6.3;6.6;4.7;2.4;0.1;8.6;4.8;5.8;6.1;3;4.7;3.9;6.4;6.3;5.6;6.1;5.1;4.2;Medium;71;1.2252252252252251;0;0;;0.22972972972972974;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Saint Kitts and Nevis;KNA;4.2;0.1;0;6.9;0;2.9;2.8;0;0;0;1.5;2.5;x;0.4;1.8;0.9;0;0.9;0;3.3;1.1;1;1.4;4;3.9;4;1.5;0.4;3.1;1.7;2.9;1.8;Very Low;161;5.7175141242937855;23;0.45098039215686275;;0.3220338983050847;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Saint Lucia;LCA;4.3;0.1;0;4.7;0.5;4.5;2.6;0;0;0;1.4;3.2;5.5;0.6;3.1;0;0.1;1;0;4.9;1.7;0.9;2.1;5.2;4.6;4.9;3.3;0.6;4.1;2.7;3.9;2.3;Low;144;5.270588235294118;13;0.2549019607843137;;0.3382352941176471;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Saint Vincent and the Grenadines;VCT;5.1;0.1;0;4.3;0.5;4.1;2.6;0;0;0;1.4;3.4;x;1.4;2.7;0;0.1;1.3;0;2.1;0.9;0.5;1.7;x;4.4;4.4;4.4;0.8;3.1;2.8;3.6;2;Low;153;4.355555555555556;20;0.39215686274509803;;0.06666666666666667;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Samoa;WSM;4.3;0.1;6.9;4.4;0.5;2.7;3.5;0;0;0;1.9;3.9;4.2;8.5;5.1;0;5.1;1;0.7;1.3;2.2;1.2;3.4;4.6;3.8;4.2;3.5;1.7;7.1;4.1;4.2;3;Low;115;5.583333333333334;15;0.29411764705882354;;0.296875;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Sao Tome and Principe;STP;0.1;0.1;0;0;0;5.6;1.3;0;0;0;0.7;6.6;7.6;3.6;6.1;0;4.2;2.2;0;4;2.8;1.5;4.2;x;5.9;5.9;4.4;4.3;5.5;4.7;5.3;2.5;Low;131;3.140740740740741;4;0.0784313725490196;;0.3888888888888889;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Saudi Arabia;SAU;2.3;3.7;0;0;5;5.7;3.1;7.5;0;5.3;4.3;0.9;3;0;1.2;1.6;0.1;0.5;0;1.2;0.5;1.1;1.2;x;4.6;4.6;1.4;3.2;1.3;2;3.4;2.6;Low;126;3.6848484848484855;12;0.23529411764705882;;0.09090909090909091;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Senegal;SEN;0.1;4.8;6.4;0;6.6;6.2;4.5;3;0;2.1;3.4;8.5;5.4;2.6;6.3;4.1;2.6;3.2;0;3.3;2.4;3.3;5;4.7;5.5;5.1;5.4;6.1;6.8;6.1;5.6;4.6;Medium;60;1.3511111111111127;0;0;;0.25333333333333335;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Serbia;SRB;5.5;8.9;0;0;3.3;3.9;4.5;2.9;0;2;3.4;1.3;2.5;1.8;1.7;4.5;0.2;0.4;0.1;2.6;0.9;2.9;2.3;4.9;5.5;5.2;2.1;1.9;2.8;2.3;3.9;3.1;Low;108;2.966210045662101;4;0.0784313725490196;;0.3561643835616438;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Seychelles;SYC;0.1;0.1;8.6;0;0;2.6;2.8;0;0;0;1.5;1.9;5.4;1.1;2.6;0;0.2;1;0;1.7;0.7;0.4;1.6;4.3;3.7;4;1.5;0.9;4.2;2.2;3.2;2;Low;153;4.594871794871795;12;0.23529411764705882;;0.26153846153846155;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Sierra Leone;SLE;0.1;4.6;5.8;0;1;7.7;3.9;5.6;0;3.9;3.9;9.2;5.7;3.6;6.9;0.8;6.4;5.6;0.1;6.6;5.1;3.2;5.3;3.5;7;5.3;7.8;8.4;8.2;8.1;6.9;5.2;High;34;1.729729729729728;0;0;;0.32432432432432434;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Singapore;SGP;0.1;0.1;0;0;0;4.3;0.9;0.1;0;0.1;0.5;0;0.9;0;0.2;0;0.4;0.2;0;1.4;0.5;0.3;0.3;1.2;1;1.1;1.1;0;1.6;0.9;1;0.5;Very Low;191;4.945454545454546;14;0.27450980392156865;;0.22727272727272727;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Slovakia;SVK;4.2;6.7;0;0;1.4;1.9;2.8;0.1;0;0.1;1.5;0.9;1.3;0.3;0.9;1.1;0.1;0.4;0;3;1;1.1;1;3.4;4.3;3.9;1.8;0.1;1.8;1.2;2.7;1.6;Very Low;172;3.7810945273631846;10;0.19607843137254902;;0.208955223880597;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Slovenia;SVN;6.1;4;5.7;0;1;1.4;3.4;0;0;0;1.9;0;0.5;0.2;0.2;1.4;0.1;0.2;0;1.4;0.4;0.9;0.6;0.9;3.4;2.2;1.6;0.1;1.4;1;1.6;1.2;Very Low;182;3.4048309178743956;9;0.17647058823529413;;0.18840579710144928;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Solomon Islands;SLB;8.4;0.1;8.7;4.1;3.1;5.6;5.8;0.5;0;0.4;3.6;6.9;3;6.6;5.9;0;4.5;2.6;0;4;2.9;1.6;4.1;6.6;6.5;6.6;5.8;7.8;6.2;6.6;6.6;4.6;Medium;60;4.972549019607843;11;0.21568627450980393;;0.38235294117647056;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Somalia;SOM;1.6;7.5;8.1;1;10;6.3;6.9;10;10;10;8.9;9.7;x;8.5;9.3;10;1.9;7.2;10;8.6;7.9;9.2;9.3;x;9.3;9.3;8;7.8;9.6;8.5;8.9;9;Very High;1;5.979166666666667;12;0.23529411764705882;YES;0.296875;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
